"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"101",8742197.3,77140579.6666667,29606168.7733333,7478945.98666667,6188092.04,3715905.64,2178647.742,5613976.26333333,32496310.3733333
"102",8742197.3,77140579.6666667,29606168.7733333,7478945.98666667,6188092.04,3715905.64,2178647.742,5613976.26333333,32496310.3733333
"11",13020775.85,82232649.3333333,32827848.06,7372093.65666667,5567120.9,3843954.58,2260025.332,6304603.91,31175436.7666667
"111",13020775.85,82232649.3333333,32827848.06,7372093.65666667,5567120.9,3843954.58,2260025.332,6304603.91,31175436.7666667
"112",13020775.85,82232649.3333333,32827848.06,7372093.65666667,5567120.9,3843954.58,2260025.332,6304603.91,31175436.7666667
"12",15751071.1,90332417.4666667,39559002.7,7825319.64666667,6860116.18,3905285.46333333,2514222.46833333,7427749.38,31927513.1266667
"121",15751071.1,90332417.4666667,39559002.7,7825319.64666667,6860116.18,3905285.46333333,2514222.46833333,7427749.38,31927513.1266667
"122",15751071.1,90332417.4666667,39559002.7,7825319.64666667,6860116.18,3905285.46333333,2514222.46833333,7427749.38,31927513.1266667
"13",5868041.52333333,81977701.7,18535142.0233333,8033558.47666667,7203439.07,4187297.39,3033594.05766667,6750664.92,38087378.5666667
"131",5868041.52333333,81977701.7,18535142.0233333,8033558.47666667,7203439.07,4187297.39,3033594.05766667,6750664.92,38087378.5666667
"132",5868041.52333333,81977701.7,18535142.0233333,8033558.47666667,7203439.07,4187297.39,3033594.05766667,6750664.92,38087378.5666667
"14",8980453.26333333,92533072.7666667,32797166.5166667,8320771.96333333,8085084.3,4135375.54333333,2634944.16466667,6605357.91,35168976.1333333
"141",8980453.26333333,92533072.7666667,32797166.5166667,8320771.96333333,8085084.3,4135375.54333333,2634944.16466667,6605357.91,35168976.1333333
"142",8980453.26333333,92533072.7666667,32797166.5166667,8320771.96333333,8085084.3,4135375.54333333,2634944.16466667,6605357.91,35168976.1333333
"15",13144350.1433333,98146664.3666667,35410573.0333333,8291184.64666667,7162838.84,4203672.74333333,2824396.885,7125136.02333333,34399157.7333333
"151",13144350.1433333,98146664.3666667,35410573.0333333,8291184.64666667,7162838.84,4203672.74333333,2824396.885,7125136.02333333,34399157.7333333
"152",13144350.1433333,98146664.3666667,35410573.0333333,8291184.64666667,7162838.84,4203672.74333333,2824396.885,7125136.02333333,34399157.7333333
"16",16047329.3033333,108516724.8,46039107.0666667,8955335.76666667,7628613.68,4231231.26333333,3237776.76633333,8318147.31666667,36592731.1666667
"161",16047329.3033333,108516724.8,46039107.0666667,8955335.76666667,7628613.68,4231231.26333333,3237776.76633333,8318147.31666667,36592731.1666667
"162",16047329.3033333,108516724.8,46039107.0666667,8955335.76666667,7628613.68,4231231.26333333,3237776.76633333,8318147.31666667,36592731.1666667
"17",5956331.94,98766051.6666667,23473590.5333333,9461830.04666667,6817833.75333333,4716711.16666667,3305996.96333333,7632918.76,43503326.7
"171",5956331.94,98766051.6666667,23473590.5333333,9461830.04666667,6817833.75333333,4716711.16666667,3305996.96333333,7632918.76,43503326.7
"172",5956331.94,98766051.6666667,23473590.5333333,9461830.04666667,6817833.75333333,4716711.16666667,3305996.96333333,7632918.76,43503326.7
"18",9329451.13666667,113205582.666667,40660688.1333333,9832340.75,7514161.58666667,4636244.44333333,3042460.896,7604734.31,40916887.5333333
"181",9329451.13666667,113205582.666667,40660688.1333333,9832340.75,7514161.58666667,4636244.44333333,3042460.896,7604734.31,40916887.5333333
"182",9329451.13666667,113205582.666667,40660688.1333333,9832340.75,7514161.58666667,4636244.44333333,3042460.896,7604734.31,40916887.5333333
"19",13554072.3866667,118714745.2,44207635.9,9816492.59333333,6891269.00666667,4852824.03333333,3191655.01733333,7884678.72333333,40093434.9333333
"191",13554072.3866667,118714745.2,44207635.9,9816492.59333333,6891269.00666667,4852824.03333333,3191655.01733333,7884678.72333333,40093434.9333333
"192",13554072.3866667,118714745.2,44207635.9,9816492.59333333,6891269.00666667,4852824.03333333,3191655.01733333,7884678.72333333,40093434.9333333
"20",16855520.17,130925187.333333,58361952.5666667,10590170.81,7738032.17333333,4980529.93,3827305.08333333,9561811.76666667,42855810.0333333
"201",16855520.17,130925187.333333,58361952.5666667,10590170.81,7738032.17333333,4980529.93,3827305.08333333,9561811.76666667,42855810.0333333
